Character,Book,Page,Chapter No,Chapter Name,POV,Title,Forename,Surname,OldSurname,Alias,RegnalNo,Gender,AliveStatus
Grand Maester Pycelle,A Game of Thrones,22,2,Catelyn I,Catelyn Tully,Grand Maester,Pycelle,,,,,M,D
"Ser Brynden Tully, Blackfish",A Game of Thrones,23,2,Catelyn I,Catelyn Tully,Ser,Brynden,Tully,,Blackfish,,M,A
Benjen Stark,A Game of Thrones,23,2,Catelyn I,Catelyn Tully,,Benjen,Stark,,,,M,U
Lady Lysa Arryn,A Game of Thrones,23,2,Catelyn I,Catelyn Tully,Lady,Lysa,Arryn,Tully,,,F,D
Queen Cersei Lannister,A Game of Thrones,23,2,Catelyn I,Catelyn Tully,Queen,Cersei,Lannister,,,,F,A
Prince Tommen Baratheon,A Game of Thrones,24,2,Catelyn I,Catelyn Tully,Prince,Tommen,Baratheon,,,,M,A
"Princess Daenerys Targaryen, Stormborn",A Game of Thrones,25,3,Daenerys I,Daenerys Targaryen,Princess,Daenerys,Targaryen,,Stormborn,,F,A
Magister Illyrio Mopatis,A Game of Thrones,25,3,Daenerys I,Daenerys Targaryen,Magister,Illyrio,Mopatis,,,,M,A
"Prince Viserys Targaryen, The Beggar King",A Game of Thrones,25,3,Daenerys I,Daenerys Targaryen,Prince,Viserys,Targaryen,,The Beggar King,,M,D
Khal Drogo,A Game of Thrones,26,3,Daenerys I,Daenerys Targaryen,Khal,Drogo,,,,,M,D
Prince Rhaegar Targaryen,A Game of Thrones,27,3,Daenerys I,Daenerys Targaryen,Prince,Rhaegar,Targaryen,,,,M,D
Princess Elia Martell,A Game of Thrones,27,3,Daenerys I,Daenerys Targaryen,Princess,Elia,Martell,,,,F,D
Ser Willem Darry,A Game of Thrones,27,3,Daenerys I,Daenerys Targaryen,Ser,Willem,Darry,,,,M,D
"King Aegon I Targaryen, The Conqueror/The Dragon”",A Game of Thrones,29,3,Daenerys I,Daenerys Targaryen,King,Aegon,Targaryen,,The Conqueror/The Dragon”,I,M,D
Khal Moro,A Game of Thrones,33,3,Daenerys I,Daenerys Targaryen,Khal,Moro,,,,,M,A
Rhogoro,A Game of Thrones,33,3,Daenerys I,Daenerys Targaryen,,Rhogoro,,,,,M,A
Ser Jorah Mormont,A Game of Thrones,33,3,Daenerys I,Daenerys Targaryen,Ser,Jorah,Mormont,,,,M,A
"Ser Jaime Lannister, Kingslayer",A Game of Thrones,36,4,Eddard I,Eddard Stark,Ser,Jaime,Lannister,,Kingslayer,,M,A
"Sandor Clegane, The Hound",A Game of Thrones,36,4,Eddard I,Eddard Stark,,Sandor,Clegane,,The Hound,,M,U
"Tyrion Lannister, The Imp",A Game of Thrones,36,4,Eddard I,Eddard Stark,,Tyrion,Lannister,,The Imp,,M,A
Lord Balon Greyjoy,A Game of Thrones,37,4,Eddard I,Eddard Stark,Lord,Balon,Greyjoy,,,,M,D
Lord Rickard Stark,A Game of Thrones,40,4,Eddard I,Eddard Stark,Lord,Rickard,Stark,,,,M,D
Lyanna Stark,A Game of Thrones,40,4,Eddard I,Eddard Stark,,Lyanna,Stark,,,,F,D
Lord Howland Reed,A Game of Thrones,40,4,Eddard I,Eddard Stark,Lord,Howland,Reed,,,,M,A
Lord Tywin Lannister,A Game of Thrones,41,4,Eddard I,Eddard Stark,Lord,Tywin,Lannister,,,,M,D
Prince Joffrey Baratheon,A Game of Thrones,45,4,Eddard I,Eddard Stark,Prince,Joffrey,Baratheon,,,,M,D
Princess Myrcella Baratheon,A Game of Thrones,47,5,Jon I,Jon Snow,Princess,Myrcella,Baratheon,,,,F,A
"Prince Daeron Targaryen, The Drunken",A Game of Thrones,51,5,Jon I,Jon Snow,Prince,Daeron,Targaryen,,The Drunken,,M,D
Ser Edmure Tully,A Game of Thrones,55,6,Catelyn II,Catelyn Tully,Ser,Edmure,Tully,,,,M,A
"Brandon Stark, Brother of Eddard",A Game of Thrones,56,6,Catelyn II,Catelyn Tully,,Brandon,Stark,,Brother of Eddard,,M,D
"Ser Arthur Dayne, Sword of the Morning",A Game of Thrones,62,6,Catelyn II,Catelyn Tully,Ser,Arthur,Dayne,,Sword of the Morning,,M,D
Lady Ashara Dayne,A Game of Thrones,62,6,Catelyn II,Catelyn Tully,Lady,Ashara,Dayne,,,,F,D
Septa Mordane,A Game of Thrones,64,7,Arya I,Arya Stark,Septa,Mordane,,,,,F,D
Beth Cassel,A Game of Thrones,64,7,Arya I,Arya Stark,,Beth,Cassel,,,,F,A
Lew,A Game of Thrones,69,7,Arya I,Arya Stark,,Lew,,,,,M,U
Donnis,A Game of Thrones,69,7,Arya I,Arya Stark,,Donnis,,,,,M,U
"Ser Serwyn, Of the Mirror Shield",A Game of Thrones,73,8,Bran II,Bran Stark,Ser,Serwyn,,,Of the Mirror Shield,,M,D
Ser Ryam Redwyne,A Game of Thrones,73,8,Bran II,Bran Stark,Ser,Ryam,Redwyne,,,,M,D
"Prince Aemon Targaryen, The Dragonknight",A Game of Thrones,73,8,Bran II,Bran Stark,Prince,Aemon,Targaryen,,The Dragonknight,,M,D
Ser Erryk Cargyll,A Game of Thrones,73,8,Bran II,Bran Stark,Ser,Erryk,Cargyll,,,,M,D
Ser Arryk Cargyll,A Game of Thrones,73,8,Bran II,Bran Stark,Ser,Arryk,Cargyll,,,,M,D
"Ser Gerold Hightower, The White Bull",A Game of Thrones,73,8,Bran II,Bran Stark,Ser,Gerold,Hightower,,The White Bull,,M,D
Ser Barristan Selmy,A Game of Thrones,73,8,Bran II,Bran Stark,Ser,Barristan,Selmy,,,,M,A
Ser Boros Blount,A Game of Thrones,73,8,Bran II,Bran Stark,Ser,Boros,Blount,,,,M,A
Gage,A Game of Thrones,73,8,Bran II,Bran Stark,,Gage,,,,,M,U
Mikken,A Game of Thrones,73,8,Bran II,Bran Stark,,Mikken,,,,,M,D
"Walder, Hodor",A Game of Thrones,73,8,Bran II,Bran Stark,,Walder,,,Hodor,,M,A
Stannis Baratheon,A Game of Thrones,78,8,Bran II,Bran Stark,,Stannis,Baratheon,,,,M,U
Renly Baratheon,A Game of Thrones,78,8,Bran II,Bran Stark,,Renly,Baratheon,,,,M,D
"Lord Petyr Baelish, Littlefinger",A Game of Thrones,78,8,Bran II,Bran Stark,Lord,Petyr,Baelish,,Littlefinger,,M,A
Grand Maester Aethelmure,A Game of Thrones,82,9,Tyrion I,Tyrion Lannister,Grand Maester,Aethelmure,,,,,M,D
Septon Chayle,A Game of Thrones,82,9,Tyrion I,Tyrion Lannister,Septon,Chayle,,,,,M,D
Ayrmidon,A Game of Thrones,82,9,Tyrion I,Tyrion Lannister,,Ayrmidon,,,,,M,D
Irri,A Game of Thrones,98,11,Daenerys II,Daenerys Targaryen,,Irri,,,,,F,A
Jhiqui,A Game of Thrones,98,11,Daenerys II,Daenerys Targaryen,,Jhiqui,,,,,F,A
Doreah,A Game of Thrones,98,11,Daenerys II,Daenerys Targaryen,,Doreah,,,,,F,D
Haggo,A Game of Thrones,99,11,Daenerys II,Daenerys Targaryen,,Haggo,,,,,M,D
Ko Cohollo,A Game of Thrones,99,11,Daenerys II,Daenerys Targaryen,Ko,Cohollo,,,,,M,D
Qotho,A Game of Thrones,99,11,Daenerys II,Daenerys Targaryen,,Qotho,,,,,M,D
"Alyn, Guard at Winterfell",A Game of Thrones,104,12,Eddard II,Eddard Stark,,Alyn,,,Guard at Winterfell,,M,D
Wylla,A Game of Thrones,105,12,Eddard II,Eddard Stark,,Wylla,,,,,F,U
"King Baelor I Targaryen, The Blessed",A Game of Thrones,106,12,Eddard II,Eddard Stark,King,Baelor,Targaryen,,The Blessed,I,M,D
"Varys, The Spider",A Game of Thrones,106,12,Eddard II,Eddard Stark,,Varys,,,The Spider,,M,A
Yoren,A Game of Thrones,114,13,Tyrion II,Tyrion Lannister,,Yoren,,,,,M,D
"King Loren, Of the Rock",A Game of Thrones,117,13,Tyrion II,Tyrion Lannister,King,Loren,Lannister,,Of the Rock,I,M,D
"King Mern, Of the Reach",A Game of Thrones,117,13,Tyrion II,Tyrion Lannister,King,Mern,Gardener,,Of the Reach,IX,M,D
Morrec,A Game of Thrones,121,13,Tyrion II,Tyrion Lannister,,Morrec,,,,,M,D
Vayon Poole,A Game of Thrones,123,14,Catelyn III,Catelyn Tully,,Vayon,Poole,,,,M,D
Hallis Mollen,A Game of Thrones,128,14,Catelyn III,Catelyn Tully,,Hallis,Mollen,,,,M,U
Mycah,A Game of Thrones,134,15,Sansa I,Sansa Stark,,Mycah,,,,,M,D
Ser Ilyn Payne,A Game of Thrones,140,15,Sansa I,Sansa Stark,Ser,Ilyn,Payne,,,,M,A
Princess Daeryssa,A Game of Thrones,141,15,Sansa I,Sansa Stark,Princess,Daeryssa,,,,,F,F
Queen Naerys Targaryen,A Game of Thrones,142,15,Sansa I,Sansa Stark,Queen,Naerys,Targaryen,,,,F,D
Ser Morgil,A Game of Thrones,142,15,Sansa I,Sansa Stark,Ser,Morgil,,,,,M,D
Ser Raymun Darry,A Game of Thrones,148,16,Eddard III,Eddard Stark,Ser,Raymun,Darry,,,,M,D
Captain Moreo Tumitis,A Game of Thrones,159,18,Catelyn IV,Catelyn Tully,Captain,Moreo,Tumitis,,,,M,A
Ser Aron Santagar,A Game of Thrones,160,18,Catelyn IV,Catelyn Tully,Ser,Aron,Santagar,,,,M,D
"King Maegor I Targaryen, The Cruel",A Game of Thrones,162,18,Catelyn IV,Catelyn Tully,King,Maegor,Targaryen,,The Cruel,I,M,D
"Ser Loras Tyrell, Knight of Flowers",A Game of Thrones,169,18,Catelyn IV,Catelyn Tully,Ser,Loras,Tyrell,,Knight of Flowers,,M,U
"Grenn, Aurochs",A Game of Thrones,170,19,Jon III,Jon Snow,,Grenn,,,Aurochs,,M,A
Ser Alliser Thorne,A Game of Thrones,170,19,Jon III,Jon Snow,Ser,Alliser,Thorne,,,,M,U
Jeren,A Game of Thrones,170,19,Jon III,Jon Snow,,Jeren,,,,,M,U
"Todder, Toad",A Game of Thrones,170,19,Jon III,Jon Snow,,Todder,,,Toad,,M,A
Dareon,A Game of Thrones,171,19,Jon III,Jon Snow,,Dareon,,,,,M,D
"Pypar, Pyp",A Game of Thrones,171,19,Jon III,Jon Snow,,Pypar,,,Pyp,,M,A
"Halder, Stone Head",A Game of Thrones,171,19,Jon III,Jon Snow,,Halder,,,Stone Head,,M,A
"Lord Commander Jeor Mormont, The Old Bear",A Game of Thrones,172,19,Jon III,Jon Snow,Lord Commander,Jeor,Mormont,,The Old Bear,,M,D
Maester Aemon,A Game of Thrones,172,19,Jon III,Jon Snow,Maester,Aemon,,Targaryen,,,M,D
Donal Noye,A Game of Thrones,174,19,Jon III,Jon Snow,,Donal,Noye,,,,M,D
Cotter Pyke,A Game of Thrones,175,19,Jon III,Jon Snow,,Cotter,Pyke,,,,M,A
Bowen Marsh,A Game of Thrones,178,19,Jon III,Jon Snow,,Bowen,Marsh,,,,M,A
Lord Mace Tyrell,A Game of Thrones,188,20,Eddard IV,Eddard Stark,Lord,Mace,Tyrell,,,,M,A
"High Septon , The Fat One",A Game of Thrones,188,20,Eddard IV,Eddard Stark,High Septon,?,,,The Fat One,,M,D
Ser Helman Tallhart,A Game of Thrones,195,20,Eddard IV,Eddard Stark,Ser,Helman,Tallhart,,,,M,D
Lord Galbart Glover,A Game of Thrones,195,20,Eddard IV,Eddard Stark,Lord,Galbart,Glover,,,,M,U
Lord Wyman Manderly,A Game of Thrones,195,20,Eddard IV,Eddard Stark,Lord,Wyman,Manderly,,,,M,A
Ser Jaremy Rykker,A Game of Thrones,198,21,Tyrion III,Tyrion Lannister,Ser,Jaremy,Rykker,,,,M,D
Jyck,A Game of Thrones,200,21,Tyrion III,Tyrion Lannister,,Jyck,,,,,M,D
Lady Maege Mormont,A Game of Thrones,200,21,Tyrion III,Tyrion Lannister,Lady,Maege,Mormont,,,,F,A
"Lord Yohn Royce, Bronze Yohn",A Game of Thrones,200,21,Tyrion III,Tyrion Lannister,Lord,Yohn,Royce,,Bronze Yohn,,M,A
Ser Denys Mallister,A Game of Thrones,202,21,Tyrion III,Tyrion Lannister,Ser,Denys,Mallister,,,,M,A
Jeyne Poole,A Game of Thrones,210,22,Arya II,Arya Stark,,Jeyne,Poole,,,,F,A
Jacks,A Game of Thrones,210,22,Arya II,Arya Stark,,Jacks,,,,,M,U
Porther,A Game of Thrones,210,22,Arya II,Arya Stark,,Porther,,,,,M,D
"Tomard, Fat Tom",A Game of Thrones,211,22,Arya II,Arya Stark,,Tomard,,,Fat Tom,,M,D
Syrio Forel,A Game of Thrones,218,22,Arya II,Arya Stark,,Syrio,Forel,,,,M,U
"King Aegon III Targaryen, Dragonbane",A Game of Thrones,227,23,Daenerys III,Daenerys Targaryen,King,Aegon,Targaryen,,Dragonbane,III,M,D
King Maekar I Targaryen,A Game of Thrones,243,25,Eddard V,Eddard Stark,King,Maekar,Targaryen,,,I,M,D
Maester Colemon,A Game of Thrones,244,25,Eddard V,Eddard Stark,Maester,Colemon,,,,,M,A
King Jaehaerys II Targaryen,A Game of Thrones,245,25,Eddard V,Eddard Stark,King,Jaehaerys,Targaryen,,,II,M,D
"King Aegon V Targaryen, The Fortunate/The Unlikely",A Game of Thrones,245,25,Eddard V,Eddard Stark,King,Aegon,Targaryen,,The Fortunate/The Unlikely,V,M,D
Grand Maester Malleon,A Game of Thrones,246,25,Eddard V,Eddard Stark,Grand Maester,Malleon,,,,,M,D
"Ser Hugh, Of the Vale",A Game of Thrones,249,25,Eddard V,Eddard Stark,Ser,Hugh,,,Of the Vale,,M,D
Rast,A Game of Thrones,252,26,Jon IV,Jon Snow,,Rast,,,,,M,D
Albett,A Game of Thrones,253,26,Jon IV,Jon Snow,,Albett,,,,,M,A
Samwell Tarly,A Game of Thrones,254,26,Jon IV,Jon Snow,,Samwell,Tarly,,,,M,A
Lord Randyll Tarly,A Game of Thrones,254,26,Jon IV,Jon Snow,Lord,Randyll,Tarly,,,,M,A
"Qhorin, Halfhand",A Game of Thrones,259,26,Jon IV,Jon Snow,,Qhorin,,,Halfhand,,M,D
Lord Mathis Rowan,A Game of Thrones,261,26,Jon IV,Jon Snow,Lord,Mathis,Rowan,,,,M,A
Janos Slynt,A Game of Thrones,264,27,Eddard VI,Eddard Stark,,Janos,Slynt,,,,M,D
"Lann, The Clever",A Game of Thrones,266,27,Eddard VI,Eddard Stark,,Lann,,,The Clever,,M,F
Margaery Tyrell,A Game of Thrones,268,27,Eddard VI,Eddard Stark,,Margaery,Tyrell,,,,F,A
Varly,A Game of Thrones,269,27,Eddard VI,Eddard Stark,,Varly,,,,,M,D
"Lord Beric Dondarrion, The Lightning Lord",A Game of Thrones,270,27,Eddard VI,Eddard Stark,Lord,Beric,Dondarrion,,The Lightning Lord,,M,D
Tobho Mott,A Game of Thrones,271,27,Eddard VI,Eddard Stark,,Tobho,Mott,,,,M,A
Gendry,A Game of Thrones,272,27,Eddard VI,Eddard Stark,,Gendry,,,,,M,A
Masha Heddle,A Game of Thrones,276,28,Catelyn V,Catelyn Tully,,Masha,Heddle,,,,F,D
Lord Jason Mallister,A Game of Thrones,276,28,Catelyn V,Catelyn Tully,Lord,Jason,Mallister,,,,M,A
Patrek Mallister,A Game of Thrones,276,28,Catelyn V,Catelyn Tully,,Patrek,Mallister,,,,M,A
Lady Shella Whent,A Game of Thrones,278,28,Catelyn V,Catelyn Tully,Lady,Shella,Whent,,,,F,D
"Lord Walder Frey, The Late Lord Frey",A Game of Thrones,278,28,Catelyn V,Catelyn Tully,Lord,Walder,Frey,,The Late Lord Frey,,M,A
Marillion,A Game of Thrones,280,28,Catelyn V,Catelyn Tully,,Marillion,,,,,M,D
"Alia, Of Braavos",A Game of Thrones,280,28,Catelyn V,Catelyn Tully,,Alia,,,Of Braavos,,F,A
Lord Jonos Bracken,A Game of Thrones,283,28,Catelyn V,Catelyn Tully,Lord,Jonos,Bracken,,,,M,A
"Thoros, Of Myr",A Game of Thrones,285,29,Sansa II,Sansa Stark,,Thoros,,,Of Myr,,M,A
Ser Balon Swann,A Game of Thrones,285,29,Sansa II,Sansa Stark,Ser,Balon,Swann,,,,M,A
Lord Bryce Caron,A Game of Thrones,285,29,Sansa II,Sansa Stark,Lord,Bryce,Caron,,,,M,D
Ser Andar Royce,A Game of Thrones,285,29,Sansa II,Sansa Stark,Ser,Andar,Royce,,,,M,A
Ser Robar Royce,A Game of Thrones,285,29,Sansa II,Sansa Stark,Ser,Robar,Royce,,,,M,D
"Ser Horas Redwyne, Horror",A Game of Thrones,285,29,Sansa II,Sansa Stark,Ser,Horas,Redwyne,,Horror,,M,A
"Ser Hobber Redwyne, Slobber",A Game of Thrones,285,29,Sansa II,Sansa Stark,Ser,Hobber,Redwyne,,Slobber,,M,A
Ser Jared Frey,A Game of Thrones,285,29,Sansa II,Sansa Stark,Ser,Jared,Frey,,,,M,D
Ser Hosteen Frey,A Game of Thrones,285,29,Sansa II,Sansa Stark,Ser,Hosteen,Frey,,,,M,A
Ser Danwell Frey,A Game of Thrones,285,29,Sansa II,Sansa Stark,Ser,Danwell,Frey,,,,M,A
Ser Emmon Frey,A Game of Thrones,285,29,Sansa II,Sansa Stark,Ser,Emmon,Frey,,,,M,A
Ser Theo Frey,A Game of Thrones,285,29,Sansa II,Sansa Stark,Ser,Theo,Frey,,,,M,U
Martyn Rivers,A Game of Thrones,285,29,Sansa II,Sansa Stark,,Martyn,Rivers,,,,M,U
Jalabhar Xho,A Game of Thrones,285,29,Sansa II,Sansa Stark,,Jalabhar,Xho,,,,M,A
Lothor Brune,A Game of Thrones,285,29,Sansa II,Sansa Stark,,Lothor,Brune,,,,M,A
Moon Boy,A Game of Thrones,290,29,Sansa II,Sansa Stark,,Moon Boy,,,,,M,A
Lancel Lannister,A Game of Thrones,297,30,Eddard VII,Eddard Stark,,Lancel,Lannister,,,,M,A
Dacks,A Game of Thrones,301,30,Eddard VII,Eddard Stark,,Dacks,,,,,M,U
Anguy,A Game of Thrones,306,30,Eddard VII,Eddard Stark,,Anguy,,,,,M,U
Cayn,A Game of Thrones,310,30,Eddard VII,Eddard Stark,,Cayn,,,,,M,D
Chiggen,A Game of Thrones,314,31,Tyrion IV,Tyrion Lannister,,Chiggen,,,,,M,D
Bronn,A Game of Thrones,314,31,Tyrion IV,Tyrion Lannister,,Bronn,,,,,M,A
Mohor,A Game of Thrones,319,31,Tyrion IV,Tyrion Lannister,,Mohor,,,,,M,D
Ser Willis Wode,A Game of Thrones,319,31,Tyrion IV,Tyrion Lannister,Ser,Willis,Wode,,,,M,A
Kurleket,A Game of Thrones,319,31,Tyrion IV,Tyrion Lannister,,Kurleket,,,,,M,D
Lharys,A Game of Thrones,319,31,Tyrion IV,Tyrion Lannister,,Lharys,,,,,M,D
Godwyn,A Game of Thrones,350,34,Catelyn VI,Catelyn Tully,,Godwyn,,,,,M,U
Lord Roose Bolton,A Game of Thrones,341,33,Eddard VIII,Eddard Stark,Lord,Roose,Bolton,,,,M,A
Lady Tanda Stokeworth,A Game of Thrones,346,33,Eddard VIII,Eddard Stark,Lady,Tanda,Stokeworth,,,,F,D
Ser Donnel Waynwood,A Game of Thrones,349,34,Catelyn VI,Catelyn Tully,Ser,Donnel,Waynwood,,,,M,A
Lord Nestor Royce,A Game of Thrones,354,34,Catelyn VI,Catelyn Tully,Lord,Nestor,Royce,,,,M,A
Mya Stone,A Game of Thrones,358,34,Catelyn VI,Catelyn Tully,,Mya,Stone,,,,F,A
Mychel Redfort,A Game of Thrones,359,34,Catelyn VI,Catelyn Tully,,Mychel,Redfort,,,,M,A
Ser Lyn Corbray,A Game of Thrones,359,34,Catelyn VI,Catelyn Tully,Ser,Lyn,Corbray,,,,M,A
Ser Vardis Egen,A Game of Thrones,362,34,Catelyn VI,Catelyn Tully,Ser,Vardis,Egen,,,,M,D
Heward,A Game of Thrones,366,35,Eddard IX,Eddard Stark,,Heward,,,,,M,D
Wyl,A Game of Thrones,366,35,Eddard IX,Eddard Stark,,Wyl,,,,,M,D
Chataya,A Game of Thrones,367,35,Eddard IX,Eddard Stark,,Chataya,,,,,F,A
Barra,A Game of Thrones,368,35,Eddard IX,Eddard Stark,,Barra,,,,,F,D
Lady Selyse Baratheon,A Game of Thrones,368,35,Eddard IX,Eddard Stark,Lady,Selyse,Baratheon,Florent,,,F,A
Tregar,A Game of Thrones,371,35,Eddard IX,Eddard Stark,,Tregar,,,,,M,D
Joseth,A Game of Thrones,383,37,Bran V,Bran Stark,,Joseth,,,,,M,U
Kyra,A Game of Thrones,384,37,Bran V,Bran Stark,,Kyra,,,,,F,D
Bessa,A Game of Thrones,385,37,Bran V,Bran Stark,,Bessa,,,,,F,D
Stiv,A Game of Thrones,390,37,Bran V,Bran Stark,,Stiv,,,,,M,D
Hali,A Game of Thrones,390,37,Bran V,Bran Stark,,Hali,,,,,F,D
Osha,A Game of Thrones,390,37,Bran V,Bran Stark,,Osha,,,,,F,A
Farlen,A Game of Thrones,391,37,Bran V,Bran Stark,,Farlen,,,,,M,D
Quent,A Game of Thrones,394,37,Bran V,Bran Stark,,Quent,,,,,M,U
Wallen,A Game of Thrones,395,37,Bran V,Bran Stark,,Wallen,,,,,M,D
Wayn,A Game of Thrones,395,37,Bran V,Bran Stark,,Wayn,,,,,M,U
Mord,A Game of Thrones,396,38,Tyrion V,Tyrion Lannister,,Mord,,,,,M,A
Ser Albar Royce,A Game of Thrones,405,38,Tyrion V,Tyrion Lannister,Ser,Albar,Royce,,,,M,A
Lord Eon Hunter,A Game of Thrones,405,38,Tyrion V,Tyrion Lannister,Lord,Eon,Hunter,,,,M,D
Lady Anya Waynwood,A Game of Thrones,405,38,Tyrion V,Tyrion Lannister,Lady,Anya,Waynwood,,,,F,A
Martyn Cassel,A Game of Thrones,409,39,Eddard X,Eddard Stark,,Martyn,Cassel,,,,M,D
Theo Wull,A Game of Thrones,409,39,Eddard X,Eddard Stark,,Theo,Wull,,,,M,D
Ethan Glover,A Game of Thrones,409,39,Eddard X,Eddard Stark,,Ethan,Glover,,,,M,D
Ser Mark Ryswell,A Game of Thrones,409,39,Eddard X,Eddard Stark,Ser,Mark,Ryswell,,,,M,D
Lord Willam Dustin,A Game of Thrones,409,39,Eddard X,Eddard Stark,Lord,Willam,Dustin,,,,M,D
Ser Oswell Whent,A Game of Thrones,409,39,Eddard X,Eddard Stark,Ser,Oswell,Whent,,,,M,D
Alyssa Arryn,A Game of Thrones,416,40,Catelyn VII,Catelyn Tully,,Alyssa,Arryn,,,,F,D
Lord Vance,A Game of Thrones,416,40,Catelyn VII,Catelyn Tully,Lord,?,Vance,,,,M,D
Lord Clement Piper,A Game of Thrones,416,40,Catelyn VII,Catelyn Tully,Lord,Clement,Piper,,,,M,A
Ser Morton Waynwood,A Game of Thrones,420,40,Catelyn VII,Catelyn Tully,Ser,Morton,Waynwood,,,,M,A
Gueren,A Game of Thrones,429,41,Jon V,Jon Snow,,Gueren,,,,,M,A
"Matthar, Ser Loon",A Game of Thrones,430,41,Jon V,Jon Snow,,Matthar,,,Ser Loon,,M,A
"Hobb, Three-finger",A Game of Thrones,430,41,Jon V,Jon Snow,,Hobb,,,Three-finger,,M,A
Cuger,A Game of Thrones,432,41,Jon V,Jon Snow,,Cuger,,,,,M,A
Clydas,A Game of Thrones,433,41,Jon V,Jon Snow,,Clydas,,,,,M,A
Chett,A Game of Thrones,433,41,Jon V,Jon Snow,,Chett,,,,,M,D
"Gunthor, Son of Gurn",A Game of Thrones,444,42,Tyrion VI,Tyrion Lannister,,Gunthor,,,Son of Gurn,,M,A
Gurn,A Game of Thrones,444,42,Tyrion VI,Tyrion Lannister,,Gurn,,,,,M,U
"Shagga, Son of Dolf",A Game of Thrones,444,42,Tyrion VI,Tyrion Lannister,,Shagga,,,Son of Dolf,,M,A
Dolf,A Game of Thrones,444,42,Tyrion VI,Tyrion Lannister,,Dolf,,,,,M,U
"Conn, Son of Coratt",A Game of Thrones,444,42,Tyrion VI,Tyrion Lannister,,Conn,,,Son of Coratt,,M,D
Coratt,A Game of Thrones,444,42,Tyrion VI,Tyrion Lannister,,Coratt,,,,,M,U
Torrek,A Game of Thrones,444,42,Tyrion VI,Tyrion Lannister,,Torrek,,,,,M,A
Jaggot,A Game of Thrones,444,42,Tyrion VI,Tyrion Lannister,,Jaggot,,,,,M,A
Ser Karyl Vance,A Game of Thrones,447,43,Eddard XI,Eddard Stark,Ser,Karyl,Vance,,,,M,A
Ser Arys Oakheart,A Game of Thrones,447,43,Eddard XI,Eddard Stark,Ser,Arys,Oakheart,,,,M,D
Joss,A Game of Thrones,447,43,Eddard XI,Eddard Stark,,Joss,,,,,M,A
Ser Marq Piper,A Game of Thrones,449,43,Eddard XI,Eddard Stark,Ser,Marq,Piper,,,,M,A
Ser Gladden Wylde,A Game of Thrones,453,43,Eddard XI,Eddard Stark,Ser,Gladden,Wylde,,,,M,D
Lord Lothar Mallery,A Game of Thrones,453,43,Eddard XI,Eddard Stark,Lord,Lothar,Mallery,,,,M,D
